kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,akreditasi_sekolah,jumlah_ma,satuan,tahun
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209010,WALED,32.09.01,WALED,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209010,WALED,32.09.01,WALED,B,2,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209010,WALED,32.09.01,WALED,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209010,WALED,32.09.01,WALED,BELUM,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209011,PASALEMAN,32.09.32,PASALEMAN,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209011,PASALEMAN,32.09.32,PASALEMAN,B,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209011,PASALEMAN,32.09.32,PASALEMAN,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209011,PASALEMAN,32.09.32,PASALEMAN,BELUM,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209020,CILEDUG,32.09.02,CILEDUG,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209020,CILEDUG,32.09.02,CILEDUG,B,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209020,CILEDUG,32.09.02,CILEDUG,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209020,CILEDUG,32.09.02,CILEDUG,BELUM,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209021,PABUARAN,32.09.33,PABUARAN,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209021,PABUARAN,32.09.33,PABUARAN,B,0,UNIT,2021
