tahun,bulan,kota_administrasi,kecamatan,penderita_dbd
2018,1,Jakarta Pusat,Cempaka Putih,3
2018,2,Jakarta Pusat,Cempaka Putih,1
2018,3,Jakarta Pusat,Cempaka Putih,3
2018,4,Jakarta Pusat,Cempaka Putih,4
2018,5,Jakarta Pusat,Cempaka Putih,3
2018,6,Jakarta Pusat,Cempaka Putih,2
2018,7,Jakarta Pusat,Cempaka Putih,2
2018,8,Jakarta Pusat,Cempaka Putih,0
2018,9,Jakarta Pusat,Cempaka Putih,0
2018,10,Jakarta Pusat,Cempaka Putih,0
2018,11,Jakarta Pusat,Cempaka Putih,0
2018,12,Jakarta Pusat,Cempaka Putih,0
2018,1,Jakarta Pusat,Gambir,0
2018,2,Jakarta Pusat,Gambir,1
2018,3,Jakarta Pusat,Gambir,2
2018,4,Jakarta Pusat,Gambir,0
2018,5,Jakarta Pusat,Gambir,2
2018,6,Jakarta Pusat,Gambir,0
2018,7,Jakarta Pusat,Gambir,0
2018,8,Jakarta Pusat,Gambir,0
2018,9,Jakarta Pusat,Gambir,0
2018,10,Jakarta Pusat,Gambir,0
2018,11,Jakarta Pusat,Gambir,1
2018,12,Jakarta Pusat,Gambir,0
2018,1,Jakarta Pusat,Johar Baru,2
2018,2,Jakarta Pusat,Johar Baru,1
2018,3,Jakarta Pusat,Johar Baru,0
2018,4,Jakarta Pusat,Johar Baru,1
2018,5,Jakarta Pusat,Johar Baru,5
2018,6,Jakarta Pusat,Johar Baru,1
2018,7,Jakarta Pusat,Johar Baru,2
2018,8,Jakarta Pusat,Johar Baru,0
2018,9,Jakarta Pusat,Johar Baru,0
2018,10,Jakarta Pusat,Johar Baru,1
2018,11,Jakarta Pusat,Johar Baru,1
2018,12,Jakarta Pusat,Johar Baru,0
2018,1,Jakarta Pusat,Kemayoran,5
2018,2,Jakarta Pusat,Kemayoran,2
2018,3,Jakarta Pusat,Kemayoran,3
2018,4,Jakarta Pusat,Kemayoran,16
2018,5,Jakarta Pusat,Kemayoran,10
2018,6,Jakarta Pusat,Kemayoran,2
2018,7,Jakarta Pusat,Kemayoran,1
2018,8,Jakarta Pusat,Kemayoran,1
2018,9,Jakarta Pusat,Kemayoran,1
2018,10,Jakarta Pusat,Kemayoran,0
2018,11,Jakarta Pusat,Kemayoran,0
2018,12,Jakarta Pusat,Kemayoran,0
2018,1,Jakarta Pusat,Menteng,1
2018,2,Jakarta Pusat,Menteng,2
2018,3,Jakarta Pusat,Menteng,1
2018,4,Jakarta Pusat,Menteng,2
2018,5,Jakarta Pusat,Menteng,0
2018,6,Jakarta Pusat,Menteng,1
2018,7,Jakarta Pusat,Menteng,1
2018,8,Jakarta Pusat,Menteng,4
2018,9,Jakarta Pusat,Menteng,1
2018,10,Jakarta Pusat,Menteng,1
2018,11,Jakarta Pusat,Menteng,0
2018,12,Jakarta Pusat,Menteng,0
2018,1,Jakarta Pusat,Sawah Besar,0
2018,2,Jakarta Pusat,Sawah Besar,0
2018,3,Jakarta Pusat,Sawah Besar,1
2018,4,Jakarta Pusat,Sawah Besar,0
2018,5,Jakarta Pusat,Sawah Besar,1
2018,6,Jakarta Pusat,Sawah Besar,0
2018,7,Jakarta Pusat,Sawah Besar,0
2018,8,Jakarta Pusat,Sawah Besar,0
2018,9,Jakarta Pusat,Sawah Besar,0
2018,10,Jakarta Pusat,Sawah Besar,0
2018,11,Jakarta Pusat,Sawah Besar,0
2018,12,Jakarta Pusat,Sawah Besar,0
2018,1,Jakarta Pusat,Senen,0
2018,2,Jakarta Pusat,Senen,0
2018,3,Jakarta Pusat,Senen,0
2018,4,Jakarta Pusat,Senen,1
2018,5,Jakarta Pusat,Senen,1
2018,6,Jakarta Pusat,Senen,1
2018,7,Jakarta Pusat,Senen,1
2018,8,Jakarta Pusat,Senen,0
2018,9,Jakarta Pusat,Senen,0
2018,10,Jakarta Pusat,Senen,1
2018,11,Jakarta Pusat,Senen,0
2018,12,Jakarta Pusat,Senen,2
2018,1,Jakarta Pusat,Tanah Abang,6
2018,2,Jakarta Pusat,Tanah Abang,2
2018,3,Jakarta Pusat,Tanah Abang,1
2018,4,Jakarta Pusat,Tanah Abang,1
2018,5,Jakarta Pusat,Tanah Abang,1
2018,6,Jakarta Pusat,Tanah Abang,0
2018,7,Jakarta Pusat,Tanah Abang,0
2018,8,Jakarta Pusat,Tanah Abang,1
2018,9,Jakarta Pusat,Tanah Abang,1
2018,10,Jakarta Pusat,Tanah Abang,0
2018,11,Jakarta Pusat,Tanah Abang,0
2018,12,Jakarta Pusat,Tanah Abang,0
2019,1,Jakarta Pusat,Cempaka Putih,4
2019,2,Jakarta Pusat,Cempaka Putih,14
2019,3,Jakarta Pusat,Cempaka Putih,14
2019,4,Jakarta Pusat,Cempaka Putih,9
2019,5,Jakarta Pusat,Cempaka Putih,15
2019,6,Jakarta Pusat,Cempaka Putih,2
2019,7,Jakarta Pusat,Cempaka Putih,2
2019,8,Jakarta Pusat,Cempaka Putih,1
2019,9,Jakarta Pusat,Cempaka Putih,0
2019,10,Jakarta Pusat,Cempaka Putih,0
2019,11,Jakarta Pusat,Cempaka Putih,0
2019,12,Jakarta Pusat,Cempaka Putih,0
2019,1,Jakarta Pusat,Gambir,1
2019,2,Jakarta Pusat,Gambir,5
2019,3,Jakarta Pusat,Gambir,13
2019,4,Jakarta Pusat,Gambir,7
2019,5,Jakarta Pusat,Gambir,4
2019,6,Jakarta Pusat,Gambir,2
2019,7,Jakarta Pusat,Gambir,2
2019,8,Jakarta Pusat,Gambir,0
2019,9,Jakarta Pusat,Gambir,0
2019,10,Jakarta Pusat,Gambir,0
2019,11,Jakarta Pusat,Gambir,0
2019,12,Jakarta Pusat,Gambir,0
2019,1,Jakarta Pusat,Johar Baru,6
2019,2,Jakarta Pusat,Johar Baru,13
2019,3,Jakarta Pusat,Johar Baru,24
2019,4,Jakarta Pusat,Johar Baru,8
2019,5,Jakarta Pusat,Johar Baru,5
2019,6,Jakarta Pusat,Johar Baru,9
2019,7,Jakarta Pusat,Johar Baru,1
2019,8,Jakarta Pusat,Johar Baru,1
2019,9,Jakarta Pusat,Johar Baru,1
2019,10,Jakarta Pusat,Johar Baru,1
2019,11,Jakarta Pusat,Johar Baru,1
2019,12,Jakarta Pusat,Johar Baru,2
2019,1,Jakarta Pusat,Kemayoran,9
2019,2,Jakarta Pusat,Kemayoran,14
2019,3,Jakarta Pusat,Kemayoran,19
2019,4,Jakarta Pusat,Kemayoran,6
2019,5,Jakarta Pusat,Kemayoran,19
2019,6,Jakarta Pusat,Kemayoran,4
2019,7,Jakarta Pusat,Kemayoran,4
2019,8,Jakarta Pusat,Kemayoran,1
2019,9,Jakarta Pusat,Kemayoran,0
2019,10,Jakarta Pusat,Kemayoran,0
2019,11,Jakarta Pusat,Kemayoran,0
2019,12,Jakarta Pusat,Kemayoran,2
2019,1,Jakarta Pusat,Menteng,9
2019,2,Jakarta Pusat,Menteng,17
2019,3,Jakarta Pusat,Menteng,10
2019,4,Jakarta Pusat,Menteng,7
2019,5,Jakarta Pusat,Menteng,5
2019,6,Jakarta Pusat,Menteng,4
2019,7,Jakarta Pusat,Menteng,0
2019,8,Jakarta Pusat,Menteng,1
2019,9,Jakarta Pusat,Menteng,0
2019,10,Jakarta Pusat,Menteng,0
2019,11,Jakarta Pusat,Menteng,1
2019,12,Jakarta Pusat,Menteng,0
2019,1,Jakarta Pusat,Sawah Besar,6
2019,2,Jakarta Pusat,Sawah Besar,7
2019,3,Jakarta Pusat,Sawah Besar,14
2019,4,Jakarta Pusat,Sawah Besar,8
2019,5,Jakarta Pusat,Sawah Besar,7
2019,6,Jakarta Pusat,Sawah Besar,5
2019,7,Jakarta Pusat,Sawah Besar,3
2019,8,Jakarta Pusat,Sawah Besar,0
2019,9,Jakarta Pusat,Sawah Besar,0
2019,10,Jakarta Pusat,Sawah Besar,1
2019,11,Jakarta Pusat,Sawah Besar,0
2019,12,Jakarta Pusat,Sawah Besar,0
2019,1,Jakarta Pusat,Senen,9
2019,2,Jakarta Pusat,Senen,9
2019,3,Jakarta Pusat,Senen,11
2019,4,Jakarta Pusat,Senen,10
2019,5,Jakarta Pusat,Senen,7
2019,6,Jakarta Pusat,Senen,3
2019,7,Jakarta Pusat,Senen,1
2019,8,Jakarta Pusat,Senen,0
2019,9,Jakarta Pusat,Senen,0
2019,10,Jakarta Pusat,Senen,0
2019,11,Jakarta Pusat,Senen,0
2019,12,Jakarta Pusat,Senen,0
2019,1,Jakarta Pusat,Tanah Abang,11
2019,2,Jakarta Pusat,Tanah Abang,25
2019,3,Jakarta Pusat,Tanah Abang,31
2019,4,Jakarta Pusat,Tanah Abang,10
2019,5,Jakarta Pusat,Tanah Abang,6
2019,6,Jakarta Pusat,Tanah Abang,4
2019,7,Jakarta Pusat,Tanah Abang,3
2019,8,Jakarta Pusat,Tanah Abang,0
2019,9,Jakarta Pusat,Tanah Abang,0
2019,10,Jakarta Pusat,Tanah Abang,0
2019,11,Jakarta Pusat,Tanah Abang,2
2019,12,Jakarta Pusat,Tanah Abang,0
2020,1,Jakarta Pusat,Cempaka Putih,1
2020,2,Jakarta Pusat,Cempaka Putih,4
2020,3,Jakarta Pusat,Cempaka Putih,15
2020,4,Jakarta Pusat,Cempaka Putih,18
2020,5,Jakarta Pusat,Cempaka Putih,8
2020,6,Jakarta Pusat,Cempaka Putih,3
2020,7,Jakarta Pusat,Cempaka Putih,0
2020,8,Jakarta Pusat,Cempaka Putih,0
2020,9,Jakarta Pusat,Cempaka Putih,0
2020,10,Jakarta Pusat,Cempaka Putih,0
2020,11,Jakarta Pusat,Cempaka Putih,2
2020,12,Jakarta Pusat,Cempaka Putih,0
2020,1,Jakarta Pusat,Gambir,0
2020,2,Jakarta Pusat,Gambir,7
2020,3,Jakarta Pusat,Gambir,4
2020,4,Jakarta Pusat,Gambir,5
2020,5,Jakarta Pusat,Gambir,3
2020,6,Jakarta Pusat,Gambir,0
2020,7,Jakarta Pusat,Gambir,0
2020,8,Jakarta Pusat,Gambir,0
2020,9,Jakarta Pusat,Gambir,0
2020,10,Jakarta Pusat,Gambir,0
2020,11,Jakarta Pusat,Gambir,0
2020,12,Jakarta Pusat,Gambir,0
2020,1,Jakarta Pusat,Johar Baru,2
2020,2,Jakarta Pusat,Johar Baru,4
2020,3,Jakarta Pusat,Johar Baru,13
2020,4,Jakarta Pusat,Johar Baru,11
2020,5,Jakarta Pusat,Johar Baru,5
2020,6,Jakarta Pusat,Johar Baru,2
2020,7,Jakarta Pusat,Johar Baru,2
2020,8,Jakarta Pusat,Johar Baru,0
2020,9,Jakarta Pusat,Johar Baru,0
2020,10,Jakarta Pusat,Johar Baru,0
2020,11,Jakarta Pusat,Johar Baru,0
2020,12,Jakarta Pusat,Johar Baru,0
2020,1,Jakarta Pusat,Kemayoran,8
2020,2,Jakarta Pusat,Kemayoran,5
2020,3,Jakarta Pusat,Kemayoran,16
2020,4,Jakarta Pusat,Kemayoran,29
2020,5,Jakarta Pusat,Kemayoran,27
2020,6,Jakarta Pusat,Kemayoran,5
2020,7,Jakarta Pusat,Kemayoran,1
2020,8,Jakarta Pusat,Kemayoran,0
2020,9,Jakarta Pusat,Kemayoran,0
2020,10,Jakarta Pusat,Kemayoran,0
2020,11,Jakarta Pusat,Kemayoran,1
2020,12,Jakarta Pusat,Kemayoran,0
2020,1,Jakarta Pusat,Menteng,2
2020,2,Jakarta Pusat,Menteng,6
2020,3,Jakarta Pusat,Menteng,19
2020,4,Jakarta Pusat,Menteng,7
2020,5,Jakarta Pusat,Menteng,3
2020,6,Jakarta Pusat,Menteng,0
2020,7,Jakarta Pusat,Menteng,0
2020,8,Jakarta Pusat,Menteng,0
2020,9,Jakarta Pusat,Menteng,0
2020,10,Jakarta Pusat,Menteng,0
2020,11,Jakarta Pusat,Menteng,1
2020,12,Jakarta Pusat,Menteng,0
2020,1,Jakarta Pusat,Sawah Besar,3
2020,2,Jakarta Pusat,Sawah Besar,5
2020,3,Jakarta Pusat,Sawah Besar,17
2020,4,Jakarta Pusat,Sawah Besar,10
2020,5,Jakarta Pusat,Sawah Besar,6
2020,6,Jakarta Pusat,Sawah Besar,1
2020,7,Jakarta Pusat,Sawah Besar,0
2020,8,Jakarta Pusat,Sawah Besar,1
2020,9,Jakarta Pusat,Sawah Besar,0
2020,10,Jakarta Pusat,Sawah Besar,0
2020,11,Jakarta Pusat,Sawah Besar,0
2020,12,Jakarta Pusat,Sawah Besar,0
2020,1,Jakarta Pusat,Senen,1
2020,2,Jakarta Pusat,Senen,3
2020,3,Jakarta Pusat,Senen,17
2020,4,Jakarta Pusat,Senen,11
2020,5,Jakarta Pusat,Senen,5
2020,6,Jakarta Pusat,Senen,1
2020,7,Jakarta Pusat,Senen,1
2020,8,Jakarta Pusat,Senen,0
2020,9,Jakarta Pusat,Senen,0
2020,10,Jakarta Pusat,Senen,0
2020,11,Jakarta Pusat,Senen,0
2020,12,Jakarta Pusat,Senen,1
2020,1,Jakarta Pusat,Tanah Abang,1
2020,2,Jakarta Pusat,Tanah Abang,7
2020,3,Jakarta Pusat,Tanah Abang,21
2020,4,Jakarta Pusat,Tanah Abang,9
2020,5,Jakarta Pusat,Tanah Abang,5
2020,6,Jakarta Pusat,Tanah Abang,0
2020,7,Jakarta Pusat,Tanah Abang,1
2020,8,Jakarta Pusat,Tanah Abang,1
2020,9,Jakarta Pusat,Tanah Abang,0
2020,10,Jakarta Pusat,Tanah Abang,0
2020,11,Jakarta Pusat,Tanah Abang,0
2020,12,Jakarta Pusat,Tanah Abang,0
